,Corr,p-value
assistant,-0.18691786363026727,0.0
administrator,-0.10457507527536822,0.0
chef,-0.09453331316809357,0.0
customer,-0.09437275845913326,0.0
support,-0.08436769086822447,3.936844242349212e-306
cleaner,-0.08126593828173637,4.0462687293859466e-284
driver,-0.08045207059800712,1.7562420580548067e-278
care,-0.07986441564270459,1.903241944363316e-274
operative,-0.07955524494079097,2.4563400881807244e-272
graduate,-0.0795248342309824,3.957889726326797e-272
advisor,-0.07788936030740393,4.181261464051286e-261
worker,-0.07706111218309442,1.3055097126463736e-255
de,-0.07599517731776878,1.258091138301832e-248
partie,-0.07324859980198914,4.39118854579754e-231
executive,-0.0719210054375135,7.737599263331715e-223
trainee,-0.06897513933228075,4.396643669284277e-205
teaching,-0.06575188244319909,1.63202682698813e-186
sale,-0.06558445695608249,1.4218433071929084e-185
part,-0.0635742867989966,1.7866833727653075e-174
apprentice,-0.061091699812608716,3.0219511128578803e-161
technician,-0.060523876605858215,2.700748748981217e-158
telesales,-0.060360880734289475,1.8772516072645746e-157
time,-0.06036037011946823,1.8886728703103828e-157
clerk,-0.059975846010665135,1.7929065400748068e-155
coordinator,-0.05956895811544363,2.1485334059997737e-153
receptionist,-0.058888788990712926,5.957349787904441e-150
labourer,-0.05026750852242863,9.503034055901683e-110
nursery,-0.0499030395027594,3.44566110781129e-108
officer,-0.04890993031839636,5.3547011491103883e-104
supervisor,-0.04820034612110291,4.6981990636203304e-101
hotel,-0.04748523445939809,3.931201379111297e-98
cleaning,-0.046920055568843905,7.472231027166479e-96
service,-0.046662992361683586,7.960836643335024e-95
ledger,-0.04575146091779772,3.154742144563255e-91
operator,-0.04502419112302633,2.0834056790735435e-88
sou,-0.043580132046589434,6.080868717782547e-83
nurse,-0.043374370057634004,3.533560055608572e-82
night,-0.04318174237001001,1.8213892574478753e-81
staff,-0.042179074615817956,8.248991069675725e-78
secretary,-0.0421108180141166,1.4526685781101805e-77
recruitment,-0.0420697417777882,2.041149428855723e-77
junior,-0.0407669690637554,8.317096703476832e-73
purchase,-0.04031752111571993,2.9982568283874313e-71
live,-0.03975775269759214,2.4652143566501087e-69
cnc,-0.039623494620647196,7.033758772793305e-69
store,-0.0392436444418592,1.3400580018666559e-67
restaurant,-0.03868793269646405,9.495185170442626e-66
rosette,-0.03864043517758556,1.3628198842198229e-65
commis,-0.037591277086814846,3.5641587569203843e-62
travel,-0.03730140261074858,3.0176863788970632e-61
start,-0.03710520901640521,1.2691608911043546e-60
temporary,-0.03670190116609746,2.3748765422151987e-59
motor,-0.03606350027885501,2.296235880320739e-57
administration,-0.035899661501789214,7.327442665390515e-57
kitchen,-0.03569464386308942,3.106926855403864e-56
immediate,-0.03559887057376699,6.083926838318329e-56
class,-0.03522996873305296,7.962741720598754e-55
assessor,-0.03514558876832344,1.4285766723850186e-54
rgn,-0.035083155019429886,2.199550228834388e-54
relief,-0.034754025071591796,2.1131317821013812e-53
